"X1" "X2" "X3" "X4" "X5" "X6"
-43.2 -68.8 -136.1 -97.9 -39.3 -31
105.6 77.3 43.3 39.5 75.3 72.7
167.5 149.1 120.5 125.3 136.4 137.7
69.4 35.8 16.2 6 54.1 45.6
50.7 25.8 18.4 18.9 52.4 46.2
24.4 10.6 0 -12.3 15.3 -0.6
15.9 19.2 -7 3.1 -7.4 8.8
-7 -7.8 -67.2 -35.8 -60.7 -30.9
-12.8 -17.2 -22 -22.2 -17 -13.2
-78.4 -94.4 -163.2 -140.6 -81.9 -88.8
-12.2 -27.4 -82.5 -58.5 -15.1 -12.4
90.1 77.4 43.1 56.3 72.7 76.1
34.1 20.4 -55.8 -20.3 22.9 28.5
143.9 126.5 74.3 86 110.1 113.1
121.7 86.1 66.4 58.2 102.7 93
95.8 57.3 32.2 29.1 79.6 83.8
52.6 43.4 -24.7 -8 5.4 19.3
-4.8 -11 -50.9 -45.4 -17.7 -23.2
15.9 5.6 -19.6 -23 -10.1 -3.4
-25.8 -28.7 -62.8 -53.3 -48.5 -34.2
-50.5 -62.1 -126.8 -103.5 -85.3 -73.2
-1.6 -2 -22 -16.9 5.4 -0.1
16.7 -2 -20.1 -25 25.7 15.4
37.1 28.9 -20.8 -4.4 28.5 35.7
44.8 -4.8 -44.6 -61.5 11.6 -3.1
126.3 96.5 58 46.1 90.4 82.1
131 101.7 78.8 74.3 108.5 99.6
119.9 104.1 61.1 69.3 79.5 82.4
69.2 37.7 34.9 23 55 43.7
41.7 15.3 5.1 3.6 24.2 19.2
38.4 39 27.4 33.5 24.7 31.6
-21.3 -30 -34.7 -36.7 -23.6 -17.8
15.7 15.5 -0.1 2.9 -2.2 3.9
32.6 28.7 24.5 23 27.7 28.4
17.5 4.9 -15.1 -19.6 10.5 5.4
81.8 76 38.6 54.1 68.3 75.6
7.3 -39.3 -85.6 -84.4 -5.1 -30.7
116 62 39.3 37.2 86.3 85.4
148.4 130.6 85.7 109.9 138.1 130.4
107.3 75.5 48 42.1 91.1 83.9
8.4 17.1 -45.8 -3.9 30.1 23.5
52.2 40.3 18.4 21.8 28.8 35.4
-22.4 -23.3 -77.4 -65.2 -67.9 -42.8
-15 -13.8 -42 -30.4 -35.9 -28.5
13.1 14 10.9 9.4 2.8 4.9
21.4 12.2 -27.5 -17.8 -10.9 3.5
23.7 15.6 -34.1 -16.5 13 10.9
55.5 34.8 0 5.6 27.4 31.9
27.3 13.5 -37.1 -12.4 32.8 36.1
131.4 107.8 77.6 82.6 106.7 110.5
161.3 149.4 100 120.2 139.5 136.3
87.4 42.8 19.6 20.5 60.3 66
79.4 54.3 36.7 28.6 49.6 53.2
50.9 48.1 33 31 24 24.3
15.5 10.3 -8.2 -3.5 -16 7.2
-74.4 -66.9 -133.3 -93.8 -87.6 -79.7
-53 -39 -102.9 -53.5 -49.4 -37.9
-26.9 -52.7 -100.5 -104.9 -69.2 -57.1
-27.5 -38 -103.9 -80.9 -37.2 -38
-6.1 -7.4 -66 -26.9 20 12.9
11.9 -31.3 -82.5 -72.7 -24.6 -27.1
73.5 57.1 -6.8 6.4 45.3 49
140.4 118.8 68.3 74.9 113.1 101.8
72.5 51.9 14.4 18.5 38 50
20.9 -9.4 -19 -9 23.1 27.6
-32.8 -48.3 -83.8 -84.5 -32.1 -42.4
-37 -63.6 -69.8 -82.3 -53.3 -47.9
-16.4 -13 -50 -28.4 -30.2 -23.8
-2.9 1.6 -39.8 -22.9 -37.1 -22.8
33.8 15.6 -11.6 -21.1 -10.2 -13.3
-3.3 -11.9 -71.4 -40.2 -4.2 -0.7
17.9 3.9 -48.3 -22.7 25.3 23.3
62.4 -8.5 9.5 -13 58.1 51.7
121.5 87.9 66.2 61.8 100 106.2
85.9 45.3 -9 13.1 80.2 80
102.1 87.9 50.1 71.1 84.5 98.6
67.1 63.9 36.4 44.2 48.6 60
-0.8 -20.6 -45.6 -53.9 -38.2 -26.9
7.3 6.2 -23.7 -17.9 -30 -3.6
-6.2 -5.9 -45.9 -39.9 -59.1 -25.6
23.8 22 2.7 11.4 -7.6 6.4
36.8 38.4 4.2 17.7 4.4 20.5
44.2 39.8 26.2 32.3 47.7 45
46 44.9 -7.8 21 41.5 49.2
112.2 83.8 64.2 62.6 94.3 90
-55.9 -96.5 -165.8 -124 -33.5 -37.6
140.9 117.3 81.3 91 107.7 101.3
123.5 98.1 80.8 64.1 102.9 95.7
42.8 10.5 -0.2 1.9 26 27
-30.9 -35.7 -82.6 -57.7 -45 -22.2
32.7 33.7 17.7 21.8 16 18.6
-85.9 -92.9 -128.7 -108.1 -63.7 -69.7
6.3 -5.8 -24.6 -2.8 -24.9 -5.5
8.2 -9.7 -48.9 -43.5 -34.9 -31.8
-49.1 -54.9 -131.2 -92.8 -42 -55.8
27.2 -4.7 -33.8 -36.7 25.4 14.9
12.9 -20 -58.2 -69.3 12.2 -3.6
75.3 28.7 14 3 63.2 52
119.3 93.3 68.8 79.1 100.3 104.3
133.5 116.5 76.1 77.4 71.3 89.8
74.3 51.6 26.1 21.2 38.9 44.8
52.9 45.1 25.8 27.4 33 39
7.5 7.3 -18.6 -10.2 -3.2 5.1
-19 -21.8 -52 -38.2 -40.5 -26.5
-74.6 -113.3 -161 -166.8 -104.1 -118.9
-40 -46.8 -95.3 -91.6 -47.3 -41.4
46.5 35.4 16.5 16.8 33 35.1
86.2 78.6 56 66.1 90.9 88
95.8 81.6 45.6 47.8 84 74.4
30.5 -6.8 -59.4 -38.7 26.5 20.4
111.6 63.4 36.2 32.4 84.4 68.9
85.9 3.8 34.7 -0.1 72.1 60.6
55.3 41.5 10.9 6.2 21.7 33.4
3.1 -6 -37.7 -17.8 -21.3 -0.3
-1.8 -6.2 -25.2 -25.7 -11.4 -12.8
-68.2 -69.9 -112.1 -95.9 -68.9 -67.2
-14.4 -17.4 -49.3 -32.8 -35.3 -21.7
28.4 32.3 18 27.7 9.6 5.4
-65.5 -103.6 -131.8 -137.3 -52.9 -83.4
16.3 -3.6 -36.5 -35.8 7.1 5.5
-2.9 5.9 -48 -17.9 27.6 32.3
62.4 31.2 3.1 11.8 47.1 51.4
145.3 124.1 83.8 79.8 108.6 99.6
32.2 23.6 -23.2 -14.2 33.9 32.6
5.6 -7.3 -54.2 -42.3 4.5 -8.5
42.5 31.4 19.8 16.4 23.9 28.5
-1.8 -2 -24.2 -21.4 -21 -13.2
-8 -3.1 -21.2 -10.8 -14.5 -6.8
20.2 12.8 5 5.9 0.7 5.7
7.2 -7 -43.1 -29.5 -7.2 -1.5
40.3 31.2 -5.1 10.2 32.2 31.1
20.2 -24.4 -64.2 -64 -5.2 -15.8
-21.5 -46.4 -109.4 -78.6 -17.3 -28.9
-4.5 -41.3 -90.3 -64 15.2 -18.1
146.3 116.7 99.9 86.6 112.7 108
100.3 60 41.6 23.2 71 58.9
72.1 54.2 27.5 22.2 41.4 43.6
-5.5 -3.9 -17.6 -21.9 14.4 9.7
-2.4 -8.8 -44.1 -43.3 -33.6 -35.3
-12.8 -25.3 -33.8 -33.3 -32.1 -22.9
-32.8 -37.5 -68.2 -64.4 -45.5 -39.3
33.6 16.1 6.1 15 18.4 27.6
31.7 16.1 -48.6 -32.5 -19.3 -7.2
70.3 47.5 4.9 20.5 29.7 45
94.2 77.3 35 46.3 68.9 73
99.4 73.2 19.3 35.7 64.1 72.5
106.7 60.9 19.5 9.6 66.4 61.9
97.9 70.6 46.7 41.9 70.7 75.1
49.4 38.6 5.2 18 38.5 43.5
27.1 13 1.9 -1.2 12.4 17.1
0.6 -11.4 -33.2 -33.4 -28.7 -36.7
-125.5 -140.4 -224.5 -178.1 -140.9 -131.3
18.5 11.2 -3.2 2.7 -7.5 6.5
-47.3 -63.9 -93.3 -110.2 -31.9 -63.6
-71.8 -98.3 -172.3 -148.4 -59.3 -79.7
23.9 20.5 -46.8 -16.2 16.3 18.2
30.8 30.4 -36.5 -9.5 30.2 40.9
79.3 85.4 34.3 43.6 77.3 74.1
125.1 87.3 68.6 77.7 111.6 117.5
89.7 41.6 15.6 -21 52.6 29.1
-67.2 -103.8 -134.8 -115.7 -56.8 -55
-27.6 -49 -86.4 -76.3 -47.4 -36.2
-67.3 -36.7 -107.9 -67.3 -60.5 -40.8
-49.3 -80.4 -142.8 -116.6 -108.5 -81.8
-50.6 -68.2 -103.1 -105.1 -68.2 -64.9
-29.2 -54.4 -75.3 -66.9 -32.9 -26.9
-50.1 -91.5 -128 -121.7 -58.3 -69
88 75.5 56.1 56.8 77.2 78.8
60.5 47.8 9.4 28.2 69.2 77.3
71 4.4 27.2 2.3 76.4 61.2
64.8 12.9 -4.7 -21.5 46.9 22.7
101.2 80 38.6 43.9 67.6 70.4
17.3 5.2 -29.7 -34.3 0.8 4.3
-134.4 -116.7 -224.7 -157.1 -142.7 -106.1
-8.4 -13.7 -54 -46.5 -38.2 -21.9
-78.9 -88.3 -143.5 -96 -99.2 -85.3
-19.5 -28.4 -64.7 -43.4 -47.4 -32.9
48.4 41.8 12.2 13.5 20.6 29.8
56.8 52.3 33.4 42 60.2 60
31.5 24.1 -60 -27.8 -9.2 14.1
45.7 19.3 -21.3 -20.5 37.3 26.3
103 64.8 37.5 38.7 84 77.7
146.3 126 71.3 104.8 106.2 120
74.3 44.3 26 43.1 72.7 74
32.7 16.3 -17.1 10.2 25.7 41.8
10.3 3 -41.1 -14.2 -12.6 4.9
-90.4 -92 -148.1 -123.3 -95.1 -87.1
-4.2 -6.6 -37.8 -29.5 -24.2 -19
-50 -63.4 -99 -91 -61.7 -64.1
-22.4 -34.9 -77.6 -57.8 -37.8 -31.8
-0.3 -23.9 -59.4 -56.9 -21.4 -25.4
16.3 -24.6 -48.7 -50.1 -0.8 -7.1
54.3 30 -9.6 -5.4 41.6 29.6
105.1 61.6 48.7 42.1 90 79.8
145.1 114.2 84.5 81.6 106.5 104.7
145.3 110.4 106.5 99.7 120.8 115
20.9 1 -26.5 -15.9 12.9 16
-33.7 -27 -68.9 -40 -16.2 -13.6
-55.2 -86.6 -135.3 -170.1 -123.9 -120.7
-41.6 -43.8 -71.3 -73 -58.2 -57.5
-65.6 -78.6 -115.1 -102.1 -81.5 -81.8
-51.4 -48 -97.8 -88.2 -60.6 -59.9
47.1 41.7 -11.7 12.6 11.7 31.4
1.3 -42.9 -78.8 -75.2 -21.1 -25.8
77.9 45.8 24 19.7 61 52.7
54.9 18.5 -66.2 -53.5 -6 0.1
120.7 59.1 49.6 26.8 80.5 67.5
23.3 -19.6 -64.4 -58.4 -12.8 -4.6
-26 -32.8 -78.9 -80 -37.6 -38.1
38.9 28.7 12.5 13.8 28 25.5
-46.5 -57.7 -91.1 -79.1 -48.5 -44.4
-49.2 -58.9 -87.2 -78.2 -66 -61
7.2 3.2 4 2.9 -4.1 -1.4
-72.4 -94 -148.1 -128.4 -75.9 -77.9
7.6 -6.5 -53.1 -48.9 -20.4 -16.7
36.6 28.3 -28.8 -12.9 19.2 19.9
58.1 21 -20 -15.7 50.3 35.8
89.7 38 16.9 16.2 73.3 64.7
149.6 105.2 88.9 90.9 129 121.9
124 76.5 75.8 69.5 98.8 93.7
31.2 5 -30.9 -38.5 2.2 0.1
20.6 15.2 -33.6 -20.3 -16.5 -5.2
-27.5 -40.9 -60.4 -63.5 -44 -39.6
-67.3 -72.8 -90.3 -67 -56.1 -47.2
-17.3 -17.3 -61 -42.7 -44.6 -32.5
-21.4 -28.3 -49.1 -40 -23.1 -21
5.1 -3.7 -78.4 -42.9 -10.3 -8.7
77.7 60.7 28.3 27.9 44.7 48.4
84.7 55.9 21 14.8 59.7 50.2
115.5 98 53.4 54.9 88.8 86.2
132.8 108.3 70.5 74.1 104 96
95.6 49.8 40.5 32.7 63.9 62.7
-2.4 -48.3 -79 -67.4 -40.2 -32.3
-78.8 -92.6 -110.2 -129.2 -69.7 -75.2
-48.2 -47.2 -102.5 -84.6 -65.3 -51.8
-15.2 -15.4 -92.6 -82.3 -81.3 -64.3
-32.6 -24.3 -83.3 -67 -52.9 -50.7
-34.9 -53.6 -120.2 -95.6 -60.9 -50.7
58.9 49.6 25.7 34.6 41.7 47.2
34.1 8 -48.1 -30.7 11.1 11.4
61.9 37.1 -26.2 -20.3 26.9 23.8
101.5 77.9 37.7 52.5 83.1 85.4
97.7 80 68.8 53.9 84.3 82.2
74.7 48.6 25.1 26.3 65.4 58.8
84.4 68 36.3 34.4 56.7 60.6
-53.2 -61.2 -137.4 -112.9 -86 -69
-44.3 -42.6 -95.8 -74.2 -70.1 -47.9
23.6 26.2 -18.1 -15 -22.7 -11
-1.8 -6.1 -30.3 -26.1 -20.9 -16.9
-4.5 -17.3 -40 -40.9 -12 -14
22 -11 -29.3 -21.4 6.7 8.1
27.3 -1.4 -22.5 -0.6 29.2 33.5
81.9 46.1 15.2 19.4 53 54.7
131.3 100 70 57.5 91.4 96.3
167.3 143.9 110.6 120.3 138.1 139.9
123.5 87.8 75.1 78.2 99.8 100
71.5 52.4 35.5 29 52.3 47.4
-0.9 -5.6 -29.5 -6.4 8.2 17.6
-155 -151.5 -237.2 -173.5 -131.9 -110
8.1 8.1 -28.4 -9.1 -31.6 -11.2
25.8 26.8 2.2 1.3 -7.1 1.8
-14.9 -32.2 -86.3 -74.7 -46.2 -39.9
9.9 8.2 -33.9 -10.1 5 15.2
37.7 16.7 -26.5 -8.4 20.9 28.3
15.5 -6.1 -80.4 -67.3 -14.3 -13
73.9 14.9 -6.7 5.3 51.6 51.1
155.3 136.3 72.3 98.3 102.4 110.7
19.6 -19.3 -74.7 -61.2 -4.1 -3.5
68 46.3 29.3 28 50.3 43.8
66.2 62.2 43 41 51.4 51.6
-106.6 -109.2 -170.2 -171.1 -121.5 -116.9
-30 -39.5 -85.5 -61.4 -62.3 -46.1
-35.8 -35.9 -67.6 -53.6 -37 -35.6
-50.7 -70.2 -104.3 -85.3 -55.8 -52.5
-78.4 -103.3 -169.9 -154.2 -94.8 -90.4
-96.6 -138.7 -169.3 -139.9 -65.6 -70.5
41.9 18.4 -25.7 -9.6 29.2 31.1
61 28.6 -28.2 -5.3 30.7 35.8
118.3 63.1 42.5 28.4 85.2 71.5
111.3 89.2 52.7 43.6 84 70.9
-8 -28.1 -96.2 -80.9 -65.1 -36.6
-22.4 -27.6 -36.9 -31 0.4 0.7
-17.8 -27 -28.6 -27 -11.1 -10.5
-11.2 -18.3 -61.4 -48 -58.4 -42.1
-55.2 -65.2 -116 -92.6 -75.3 -65.1
38.2 35.1 -12.5 4.2 -2.8 16.3
25.9 16.5 -12.1 -12.4 9 5.7
68.8 52 22.5 23.2 37.1 41.8
36.1 -24.7 -38.3 -38.2 19.4 11.4
75.9 60.9 5.8 32 72 74.2
150.4 120.5 100.5 97.5 126.2 119.8
99.9 78.3 45.6 50.4 72 78
114 96 89.9 88.9 102.6 97.3
-30.6 -48.2 -74 -92.3 -55.8 -57.7
7.3 4.2 -24.9 -18.4 -4.8 -2
-76.3 -71.3 -89.2 -71.3 -54.6 -54.2
-55.2 -52.5 -115.1 -91.8 -72.4 -66.8
24.6 20.5 -21.4 -10.8 -11.3 1.5
2.6 -19.7 -63.9 -53.3 -30.9 -22.9
-26 -44.9 -111.8 -73.3 -10.4 -11
-59.7 -56.9 -166 -89.3 -28.1 -24.6
68.9 61.5 -16.6 12.4 46.2 47.9
120.6 90.5 30.4 50 90.1 91.4
121.8 97 79 67.4 93.9 89.8
12.2 -48.1 -7.7 -46.8 18.7 -23.1
13.8 22.6 -10.6 19.2 38 39.2
-47.2 -45.3 -85.6 -61.2 -59.8 -38.1
-107.7 -129.9 -162.1 -159.3 -88.5 -123.5
-60.6 -86.2 -133.8 -105.2 -95.8 -80
-37.8 -65.9 -126.3 -114.1 -74.8 -66.3
21.6 6.5 -25.7 -21.4 7.1 6.6
43.9 8.8 -31.1 -41.9 0.4 -2.7
14.1 -48 -59.6 -52.6 -0.2 -2.1
0.2 -53.7 -65.8 -66.8 0.3 -2.1
95.8 56.9 28.4 38.7 93.4 79.1
70.6 39.8 -8.6 11.7 31.8 48.9
-92.9 -76.3 -113.3 -82.7 -38.6 -37.1
-5.9 -23.1 -32.8 -26.3 -5.8 -1.7
-19.6 -29.7 -52.4 -47.9 -25.6 -23.2
-18.4 -23.5 -52.9 -34.4 -37 -25.3
-2.1 -5.5 -40.2 -34.7 -30.3 -25.1
32.4 31.3 -13.9 -9.6 -11 1.9
61.8 51.4 38.5 38.8 52.5 58.8
43.8 28.3 -7.8 5.3 33.8 34.7
79.2 61.2 17 41 67.8 75.1
36.9 32 -36.1 -16.5 33.2 41.2
115.6 84.9 31.9 48.8 79.8 81.7
108.5 75.4 48.7 55.9 84.3 88.4
63.6 45.4 4.1 15.3 31.5 41.3
43.8 37.4 27.2 30.9 33.6 40.7
3.3 3.3 -12.7 -8.6 -1.2 1.2
-105 -150.2 -163.2 -170.8 -119.4 -131.1
-1.3 -6 -39.2 -27 -22.2 -14.2
0.3 -14.8 -48.7 -53.5 -28.7 -23.7
-124.8 -120.7 -207 -151.4 -87 -90
28.3 8.2 -28.7 -23.2 18.6 14.6
56.2 44.8 -7.8 -3.6 44.9 36.3
105.6 76.5 30.8 30.3 79 69.4
107.4 83.1 19.9 45 74.1 82.5
60.5 33.3 6.8 24.7 67.2 64.1
-8.6 -36.2 -76.4 -65.6 -29.5 -27.1
23.4 16.2 -46.2 -30.5 -35.5 -15.9
0.1 0.6 -45.1 -35.5 -30.5 -18.2
11.1 13 0 3.3 3.3 6.4
-10.9 -29.2 -55 -46.8 -36.9 -33.7
1.9 -15.6 -32.7 -20.9 -0.7 3.2
-1.1 -22.4 -77.7 -58.1 -36.3 -26.9
56.5 49.1 11.9 30.4 50.3 53.9
-29.4 -54.3 -110.6 -92 -29.2 -27
54 4.3 4 -10.4 60.6 41.4
169.8 146 124.3 120.5 149.3 145.5
33.8 -7.5 -45.7 -58.7 18.3 5
16.9 -3.1 -25.9 -13.6 8.3 16.3
45.7 37.7 19.8 26.2 30.3 34.3
21.4 22.9 -42.1 -24.2 -41.1 -14.6
-72.1 -52 -94.2 -59.8 -49.7 -42.3
10 9.3 -5.8 -1 -3.8 0.4
-4 3 -44.5 -26.9 -16.1 -2.4
45.6 47.4 7.7 19.1 33.1 37.2
-9.7 -50.2 -74.5 -59.2 -9.1 -9.1
65.5 33 1.8 15.3 56.4 58.6
155.7 133.9 105.7 116 150.3 146.7
145.5 122.5 67.5 82.6 103.5 110.9
45.2 0.6 -9.7 3.1 50 50.1
42.5 14 -8.8 -8.2 16.8 15.1
-37.5 -44.2 -103.9 -90.1 -62.1 -53.2
-11.7 -7.9 -47.5 -37.7 -31.4 -24.1
-66.1 -87.3 -100.1 -86.7 -64.3 -62
-105.3 -88 -146.9 -108.7 -77 -78
17.1 9.2 -32.7 -17.5 -1.9 3.7
22.9 24.7 -21.9 1.4 23.6 26
23.4 -25.5 -32.6 -31.2 11.7 7.5
-42.9 -93.2 -155.8 -167.1 -78.5 -92.1
11.3 0.8 -86.9 -56.7 0.5 -2
72.8 41.3 -24.2 -18.2 38.7 24.8
96.4 65.1 28.6 25.1 48.6 54.7
96.7 87.4 84.7 80.5 96.3 92.7
-15.8 -47.9 -70.6 -61.7 -31.4 -25.4
-13 -13.7 -29.5 -30.3 -15.4 -16.1
-45.4 -49.5 -83.6 -59.1 -45.5 -42.5
-11.7 -24.2 -74.9 -60 -72.2 -44.8
-12.5 -25.2 -79.2 -71.8 -40 -39.6
4 -12.4 -77.6 -67.6 -37 -29.9
0.3 -28.9 -85.7 -67.8 -25.1 -21.9
49.5 19.4 -23.4 -16.4 22.4 20.2
75.5 37.7 -10 -8.2 39.3 36
160.1 137.8 115.8 108.4 126.2 121.8
126.6 97.3 86 76.4 110.8 102.1
87.2 71.2 49 46.9 66 65.5
58.2 45.9 45.5 44.7 48.6 47.4
29.3 32.1 22.7 26 20 23.9
-51.3 -62.1 -106.7 -82.7 -64.8 -58.7
-140.4 -199.3 -265.6 -231.3 -174.2 -174.7
-7.7 -18.4 -85.2 -63.8 -48.3 -33.8
9.4 -26.6 -74 -66.7 -30.9 -29.2
34 21.5 -32.9 -18.7 5 10.1
31.3 22.4 -42.1 -19.1 20.2 26.1
94.4 45.2 39.3 38.6 82.6 76.9
158.7 143 104.3 124.1 138.3 142.3
116.9 95.7 69.3 57 86.3 79.7
54.4 37.9 16.1 24.2 43.2 46.2
-62.3 -109.3 -144.8 -142.2 -94.8 -90.2
1.1 7.5 -28.8 -11 -17.6 -4
-0.5 -4.4 -42.2 -34.3 -36.5 -26.8
13.2 6.3 -16.3 -25.8 -18.5 -18.9
6.1 7.4 -25.1 -11.9 7.6 8.5
19 15.5 -56 -24.4 -14.4 -0.8
46.1 19.5 4.5 2 38.7 30.6
12.4 -38.2 -72.5 -56.5 -9.5 -6.5
78.6 61.3 4.8 26.2 58.1 59
136.6 117.9 73.4 72.8 100.6 93.2
105.5 101.3 43.8 26.7 67.4 59.6
82.3 68 44.5 46.8 67.1 63.4
28 25 -28.9 -10.1 -9.8 6.2
-61.6 -78.9 -101.3 -91.8 -62.4 -58.6
9.5 9 -26.2 -11.3 -30.7 -11.6
16.4 -1.3 -18.2 -33.8 -30.4 -26.8
-18.3 -28.7 -52.3 -41.7 -20 -18.2
39.9 17.8 -22.8 -17.8 10.3 9.4
-42.8 -26.7 -84.5 -44.7 2.3 2.5
57.3 22.1 -27.5 -18.1 20.3 20.7
50.7 2.9 25.6 12.8 71.3 56.7
134.2 105.6 60.4 61 90.3 81.5
121.7 94 90.2 91.1 112.3 113.6
30.6 14.7 -4.1 5.4 33.4 33.6
34.9 24.4 -12.3 -3.9 3.3 11.9
32.8 35.9 22.1 21.6 21.9 20.3
-67.4 -78.1 -178.5 -144.6 -131.7 -109.6
-16.9 -37 -51.8 -58 -28 -41.4
-72.5 -92.2 -141 -122 -63.8 -75.5
18.7 -12.5 -42.1 -52.7 -10.6 -9.1
73.3 61.5 39.9 40.8 75.5 67.4
45.4 37.5 3.4 19 60 57.8
107.4 73.9 51.4 47.9 84.2 80.9
112.7 77.8 44.7 61.1 104.4 95.1
17.8 -20.1 -50.1 -48.2 24 8.7
46.6 28.8 -2.1 7.7 37 36.4
-49 -36.5 -106.1 -70 -77.2 -37.9
-76.9 -115.7 -113.9 -109.8 -63.9 -74.3
6.1 13 -53.1 -29.1 -51.8 -22.1
17.6 17.5 10.1 7.4 7.7 8.6
-7.2 -24.8 -61.3 -49.6 -37.1 -28.3
57.8 52.5 14.4 34.1 33.6 46.4
31.2 15.1 -42.7 -15.6 9.8 18.1
105.8 87.1 36.4 44.3 59.1 66.4
93.7 58.4 37.3 19.1 73.9 59.3
162.6 155.8 98.8 124.9 138.1 148
10.3 -5.1 -80.6 -70.9 -14.2 -6.5
102.6 87.5 74.6 71.9 87.4 83.6
31 10 -1.4 -11.2 18.5 14.3
-90.4 -109.9 -116.1 -102.1 -55 -61.2
-27.5 -49.2 -73.1 -52.8 -48.8 -38.6
14.5 6.9 -41.4 -25.5 -35.1 -19.7
-12 -15.9 -32.8 -24.8 -21.2 -6.2
-47.4 -77.3 -105.4 -91.2 -32.7 -44.4
87.2 69.5 40.8 46.7 70.8 68.8
-78.6 -101.1 -167.6 -134.7 -52.5 -60.2
114.4 90.8 50 53.9 85.7 82.1
182.4 154.3 136.8 127.7 155 153.9
109.8 69.7 54.4 38.8 68.9 67.9
60 36.7 23 9.4 19.1 27
29.9 28.7 -9.9 13.8 10.6 25.8
-120.7 -133.2 -177.6 -128.7 -99.3 -79.3
5.7 7.6 -18.7 -27.7 -15.1 -17.7
-24.7 -31.5 -56.2 -44 -43.2 -37.9
3.4 19.3 -35.2 -13.2 1.5 5.4
30.2 26.2 -21.1 -11.5 1.8 9.7
54 25.5 -7.5 -8.4 29.4 28.3
15.3 -15.1 -72.1 -62.5 -18.4 -10.4
109.1 104 39.8 43.5 84.8 76.3
132.4 103.3 57.8 72.3 109.7 104.9
134.3 118.9 105.7 97.3 118.6 114.5
113.7 101.1 96.4 97.8 113.4 109.5
46.8 41 27 18.6 29.3 32.9
-20.9 -31.8 -42.5 -41.3 -29 -27.8
-21.9 -26.8 -57.4 -44.9 -37.4 -33.5
-11.3 -34 -71.7 -66.3 -60 -55
8.4 5.3 -15.6 -8 -2.7 -4
36.1 36.2 -1.8 18.9 27 20.3
-20.5 -44.1 -95.5 -75.2 -44.4 -30.8
88.9 73.4 24.7 40.4 69.7 73.5
122.3 125.4 67 97.9 114.7 117.5
148.7 127.7 117.4 123.2 148.7 141
131.4 103.8 99.5 88.4 110.5 109.8
21.7 7.3 -13.1 -3.4 28 28.1
-10.6 0.8 -39 -15.4 16.7 -2.4
-12.2 -11.5 -39.1 -24.7 -22.4 -9.2
-7.3 -10.2 -41.2 -32.4 -31.4 -17.7
-61.4 -52.4 -83.9 -48.2 -34.7 -37.1
-21.8 -33.8 -74.2 -54.8 -32.3 -31.9
51.1 44.2 9 16.4 18.6 22.8
66 39.7 -11 0.3 34.4 35.7
56.8 28.8 -1.9 2.9 54.8 41.7
129 105.7 54.3 75.2 72.8 91.8
96.5 68.8 21.1 18.7 73.6 60.2
127.7 92.1 76.9 60.9 96.9 82.1
66.9 60.3 24.3 42.9 64 67.3
-121.6 -154.1 -168.5 -161 -89.3 -96.9
-9.5 -2.2 -45.9 -19.8 -28.6 -4.9
-66.2 -64.6 -91.9 -73.9 -39.3 -55.8
-86.8 -104.7 -163.8 -146.1 -115.7 -97.7
23.5 25.1 -19.4 0.3 -6.4 -0.7
41.1 33.5 -18.7 -0.2 3.6 8.6
-71.8 -111.7 -170.1 -155.5 -77 -62.9
28.4 4.2 -58.2 -50 1 -8
20.6 -16.8 -76.8 -73.5 1.2 -1.4
150.8 139 72.3 101.6 110.6 113.9
141.9 124.7 92.1 103.2 117.8 118.2
71.6 50.5 49.4 39 67.6 60.5
14.3 4.6 -25.2 -10.9 9.6 23
-29.1 -49.9 -24 -41.6 -1.2 -8.4
5.4 8.5 -13.4 -5.5 -12.1 -8.3
6.5 -0.4 -13.2 -11.9 -9.7 -9
-13.3 -20.8 -75.5 -52.1 -38.6 -26.6
31.3 14.8 -11.7 3.3 24 31.7
-7.2 -33.7 -97.9 -86.5 -42 -49.5
96.5 68 38.3 48.2 86.2 91
129.6 101.5 94.4 93.4 127.7 126.2
173.9 150.8 117.3 122.2 143.8 139.1
74.8 63.3 11.9 13.4 62.9 59.2
45.4 19 11.9 14.4 43 37.3
55.5 43.3 28.6 30.4 39.7 41
-83.6 -120.3 -123.6 -137.4 -66.1 -75.1
-5.6 -10.6 -16.2 -14.8 -0.1 5.3
-2.1 -9 -34.2 -22.4 -25.1 -21.1
36.6 20.8 -20.4 -7.8 -6.2 -1.1
68.1 58.6 35.4 39.6 62.6 59.8
21.7 1.6 -51.7 -34.2 2.8 1.8
45.1 20.9 -45.5 -29 37.2 46.7
78.8 45 3.6 11.4 57.4 49.7
165.4 122.1 89.2 83.5 132.7 132.9
128.8 100.9 87.7 85.2 120 116.9
55.4 33.3 29.7 32.9 54.7 66.1
-28.5 -43.4 -78.5 -64.1 -38.3 -34
-19.2 -17.4 -48.1 -30.6 -32.7 -28.6
-33.8 -34.7 -46.8 -33.2 -38.2 -30
0 -4.2 -12.8 -13.3 -4.3 -7.5
-22.4 -33.6 -50.7 -61 -13.2 -3.1
-19.8 -54.8 -107.2 -115.6 -32.6 -47.4
31.8 24.1 -40 2 8.6 27.4
60.4 33.4 -19.1 -24.1 44.3 24.8
124.5 101.6 63.8 74 87.1 86.7
157.6 137.6 107.8 115.8 129.6 132.2
145.1 113.8 97.9 97 134.1 133.5
20.2 6.1 -46.2 -20.7 -8.2 19.5
7.2 4.7 -26.8 -21.6 -13.9 -15.5
-51.1 -54.3 -97.5 -70.3 -73.5 -54.6
