"X1" "X2" "X3" "X4" "X5" "X6"
165.9 142.4 113.9 129.1 137.1 144.6
130.1 109.8 81.6 95.6 106.9 112.4
68.1 65.2 30.2 46.3 51.1 60.4
-42.9 -68.9 -113.1 -88.7 -66.6 -50.7
-26.9 -35.4 -78 -51.4 -49.9 -34.2
-6 -5.1 -33.8 -21.9 -30.4 -21.6
-1.6 -24.8 -49.7 -46.8 -31.7 -33.4
11.4 0.3 -34 -21.3 -3.3 1.6
43 35.6 -6.8 9.4 10.5 19.7
36.6 -14.7 -41.3 -37.8 14 14.6
83.9 61.8 22.4 35.2 59.8 58.6
86.1 51.1 21.1 25.7 68.7 65.5
115.8 87.8 45.1 51.5 81.3 70.9
100.8 77.2 51.5 54 67.3 64
50 37.1 24.1 28.4 47 43.9
24 14.7 -6.6 -4.8 -2.6 2.7
-12.1 -7.4 -39.9 -28.1 -30.4 -22.7
11.5 8.2 7.3 0.2 2.5 3.2
-23.6 -31.4 -68 -58.2 -47 -43
-16.2 -44.1 -71.6 -75 -20 -17.4
0.8 -18.1 -58.3 -48.4 -15.9 -8.4
7.4 -19.1 -56 -52.6 -2.1 0.8
36.1 5.7 -49.1 -32.3 7.4 6.6
87.7 57.3 11.3 21.3 56.4 53.7
148.9 127.5 103 99.9 116.6 112.9
99.2 80.3 51.6 53.1 78.6 77
-19.3 -54.1 -76.6 -82.9 -22.4 -21.1
-8.7 -17.8 -58.2 -46.1 -29.9 -23
2.3 4 -30 -15 -21.4 -15.2
-7.1 -5.1 -26.1 -18.6 -19.5 -16.1
12.1 10.3 -1 2.3 -0.7 0.9
-3.3 -6.9 -42.2 -34.7 -15.3 -9.8
19 6.4 -43.6 -27.7 -13.2 -7.3
45.3 26.2 2.6 3.3 45 46.2
-0.2 -35.3 -79.1 -74.6 11 8.6
84.5 49.9 15.5 16.3 60.8 57.9
87.5 50.6 16.3 10.9 69.7 61.8
76.5 36.8 24.5 5.2 67.1 62.4
59 41.8 20.3 20.5 40.8 38.7
-10.9 -19.1 -62.6 -41.5 -21.3 -14.4
-28.8 -49.5 -73.7 -78.4 -49.9 -46.6
-15.7 -16.3 -45.1 -28.9 -37.3 -24.4
-43.5 -40.3 -95.6 -74.9 -78.2 -68.1
-23.4 -23.9 -70.2 -58.2 -48.4 -39.9
10.3 0.4 -31.9 -28.9 7.5 11.9
9.1 -28.8 -67.6 -62.5 2.3 -0.3
-45.1 -85.3 -140.8 -135.8 -36 -42.1
64.8 26.8 10.1 -4.9 73.6 68.9
117.6 76.5 42 42 93.6 88.3
113.1 89.1 67.9 69.7 97.9 95.8
44.4 37.6 11.6 22.3 30 34.7
-10.2 -19 -61.6 -39.1 -34.7 -19.6
-58.2 -55.7 -77.5 -75.3 -53 -46.4
-40.3 -40.2 -63.6 -63.5 -42.5 -36.4
16.8 18.9 8.7 7.7 8.5 10.2
-62.4 -74.6 -151 -130.5 -60.7 -53.3
18.4 11.4 -38.9 -18.3 -8.3 -1.4
22.9 -7 -32.8 -32 16.2 17.6
69.7 59.7 11.4 25 54.6 55.9
116.9 90.6 69.6 64.7 93.4 88.8
123.8 76.8 73.9 51.5 89.7 80.7
125.3 106.4 85.3 79.6 98 95.5
45.8 27.4 9.7 10.3 33 31.5
20 6.5 -7 -8 13.2 15.4
-25.4 -38.5 -53.8 -64.2 -54.9 -51.7
-57.6 -69.1 -114.1 -103.1 -88 -78.9
-23.2 -21.9 -51.5 -40 -33 -30.4
-56.1 -75.2 -108.1 -102.9 -41.4 -48
24.2 17.7 -21.4 -4.7 0.8 6.8
21.1 -13.6 -50.4 -42.4 1.6 0
12.5 -37.5 -102.2 -85.3 -13.9 -20.2
81.3 45 -8.7 3.1 41.3 35.8
